sim_time,pitch,roll,yaw,pitch_delay,roll_delay,yaw_delay
129.364,0.0016607,-0.00238164,0.00517781,0.0028498,-0.00399173,0.00778299
129.368,0.00172465,-0.00245791,0.0051687,0.00293427,-0.0040805,0.00776588
129.372,0.00179039,-0.00253328,0.00515959,0.00301828,-0.00416994,0.00774886
129.376,0.0018593,-0.00260732,0.00515048,0.00310185,-0.00426088,0.00773191
129.38,0.00193194,-0.00267931,0.00514138,0.00318532,-0.00435302,0.00771504
129.384,0.00200845,-0.00274931,0.00513231,0.00326908,-0.00444592,0.00769828
129.388,0.00208859,-0.00281799,0.00512332,0.00335435,-0.00453975,0.00768157
129.392,0.002172,-0.00288638,0.00511449,0.00344164,-0.00463427,0.00766484
129.396,0.00225856,-0.00295494,0.00510582,0.00353025,-0.00472946,0.00764815
129.4,0.00234815,-0.00302426,0.00509727,0.00362146,-0.00482553,0.00763161
129.404,0.00244059,-0.00309405,0.00508878,0.00371616,-0.00492276,0.00761533
129.408,0.00253574,-0.00316414,0.00508031,0.00381381,-0.00502137,0.00759931
129.412,0.00263422,-0.00323416,0.00507186,0.00391488,-0.00512205,0.00758346
129.416,0.00273742,-0.00330388,0.00506343,0.00401934,-0.00522522,0.0075677
129.42,0.00284527,-0.00337328,0.00505501,0.00412689,-0.00533043,0.00755201
129.424,0.00295831,-0.00344225,0.0050466,0.00423711,-0.00543743,0.00753633
129.428,0.00307571,-0.00351089,0.00503829,0.00435105,-0.00554603,0.00752065
129.432,0.00319719,-0.00357909,0.00503,0.00446812,-0.00565609,0.00750496
129.436,0.00332252,-0.00364661,0.00502172,0.00458853,-0.00576737,0.00748929
129.44,0.00345152,-0.00371364,0.00501341,0.00471372,-0.0058795,0.00747368
129.444,0.00358367,-0.0037802,0.0050051,0.00484359,-0.00599215,0.00745814
129.448,0.00371857,-0.00384646,0.0049968,0.00497763,-0.00610554,0.00744263
129.452,0.00385676,-0.00391231,0.00498852,0.00511631,-0.00622067,0.00742712
129.456,0.00399865,-0.00397748,0.00498027,0.00525944,-0.00633728,0.00741164
129.46,0.00414409,-0.00404177,0.00497204,0.00540623,-0.00645457,0.00739623
129.464,0.00429326,-0.00410494,0.00496388,0.00555673,-0.00657227,0.00738089
129.468,0.0044453,-0.00416756,0.00495587,0.00571196,-0.0066899,0.00736559
129.472,0.00459969,-0.00422957,0.00494807,0.0058709,-0.0068074,0.00735032
129.476,0.00475642,-0.00429129,0.00494045,0.0060343,-0.00692442,0.00733512
129.48,0.00491525,-0.00435238,0.00493297,0.00620277,-0.00704055,0.00732004
129.484,0.00507588,-0.00441294,0.00492565,0.00637552,-0.00715567,0.00730509
129.488,0.00523841,-0.0044732,0.00491849,0.00655204,-0.00726992,0.00729022
129.492,0.00540381,-0.00453343,0.00491149,0.00673197,-0.00738339,0.00727544
129.496,0.00557218,-0.00459323,0.00490462,0.00691406,-0.0074964,0.00726079
